3.853863741289512745e+01,1.343339063937738942e+01
4.686274354984004731e+01,2.989100666473302681e+01
1.608155881045506419e+01,8.344420304635958630e+00
4.133834527179656959e+01,1.972858159689551272e+01
6.179745554692870257e+01,2.655970818200742656e+01
8.236090871983196848e+01,4.203383445806252183e+01
2.373906752998068725e+01,1.209888088544781581e+01
6.591004363286101864e+01,3.329205517220039923e+01
4.816269443869607869e+01,2.667670937802940045e+01
9.778392262483059483e+01,5.230869371113058719e+01
8.729339687504733547e+01,3.895900534503289947e+01
4.624822076687166827e+01,3.070865043327642496e+01
1.203629545246346879e+02,5.644627966441001377e+01
4.411048345790884184e+01,2.642189747059610028e+01
1.092779078083912623e+02,5.848646617180728668e+01
3.786313458885329197e+01,1.564286573596966967e+01
8.772966907523355928e+01,4.169905025526555420e+01
8.322706432189959003e+01,4.621509691698512512e+01
9.693065072941922722e+01,4.891890129532599474e+01
3.182881004612379527e+01,1.454180942170831514e+01
2.775388755689437303e+01,2.030654817718266258e+01
8.673969740864673383e+01,3.786917542172070483e+01
1.018931373700201561e+02,5.488782410357843133e+01
1.273919625367200297e+02,6.404695279286831067e+01
6.770821115969431503e+01,3.825640914241787982e+01
1.202535843680009293e+02,6.278578470665212308e+01
1.067531111108948494e+02,5.104343753723976107e+01
9.287142981934798058e+01,4.468709739726588737e+01
1.902874808079646840e+01,7.396668994788115015e+00
9.880658656594100364e+01,5.106825719183055412e+01
